idx,Text,Score
1,Please send help my house is on fire!, fire
2,I need the fire department right away there's a fire in my kitchen., fire
3,My apartment building is on fire please send firefighters!, fire
4,There's a fire in the garage please come quickly!, fire
5,My neighbor's house is on fire please send help!, fire
6,The office building is on fire please send firefighters!, fire
7,I can see smoke and flames please come quickly!, fire
8,The fire is getting bigger we need help now!, fire
9,We can't put out the fire we need professional help!, fire
10,Help! There's a fire in the attic!, fire
11,The fire is spreading we need help urgently!, fire
12,Please send firefighters my cat is trapped in the house!, fire
13,My kitchen is on fire please send help!, fire
14,My clothes caught on fire please help me!, fire
15,We need help the whole house is on fire!, fire
16,There's a fire in the backyard please send firefighters!, fire
17,Help! The stove caught on fire!, fire
18,There's a fire in the bathroom please send help!, fire
19,I can't breathe there's a lot of smoke!, fire
20,We need help the fire is blocking our escape!, fire
21,My car is on fire please send firefighters!, fire
22,Help! The grill caught on fire!, fire
23,The building is on fire please send help!, fire
24,The fire is out of control we need help!, fire
25,My hair is on fire please help me!, fire
26,There's a fire in the basement please come quickly!, fire
27,We need help the fire is near the gas tank!, fire
28,There's a fire in the garage please send help!, fire
29,Help! The curtains caught on fire!, fire
30,My restaurant is on fire please send firefighters!, fire
31,The fire is too big we need help now!, fire
32,Please send help there's a fire in the laundry room!, fire
33,The fire is on the roof please come quickly!, fire
34,Help! There's a fire in the bedroom!, fire
35,We need help the fire is near the electrical panel!, fire
36,My store is on fire please send help!, fire
37,The fire is spreading to the other rooms we need help!, fire
38,Please send firefighters my child is trapped inside!, fire
39,We need help the smoke is getting thicker!, fire
40,There's a fire in the closet please come quickly!, fire
41,Help! The Christmas tree caught on fire!, fire
42,The fire is in the chimney please send firefighters!, fire
43,My office is on fire please send help!, fire
44,We need help the fire is blocking the stairs!, fire
45,The fire is on the balcony please come quickly!, fire
46,Help! There's a fire in the living room!, fire
47,The fire is near the gas stove please send help!, fire
48,We need help the fire is near the propane tank!, fire
49,Please send firefighters the fire is near the power lines!, fire
50,There's a fire in the attic please come quickly!, fire
51,Help! There's a fire in the shed!, fire
52,The fire is in the fireplace please send firefighters!, fire
53,We need help the fire is in the air conditioning unit!, fire
54,The fire is in the trash can please come quickly!, fire
55,Help! There's a fire in the closet!, fire
56,The fire is in the microwave please send help!, fire
57,We need help! There's a fire!, fire
58,The fire is in the elevator please send firefighters!, fire
59,Help! There's a fire in the hallway!, fire
60,The fire is in the storage room please come quickly!, fire
61,We need help the fire is in the car engine!, fire
62,The fire is in the fuse box please send help!, fire
63,Please send firefighters the fire is in the dumpster!, fire
64,There's a fire in the laundry dryer please come quickly!, fire
65,Help! The lamp caught on fire!, fire
66,The fire is in the heating system please send firefighters!, fire
67,We need help the fire is in the attic insulation!, fire
68,The fire is in the water heater please come quickly!, fire
69,Help! There's a fire in the backyard shed!, fire
70,The fire is in the generator please send help!, fire
71,We need help the fire is near the propane grill!, fire
72,The fire is in the pool house please come quickly!, fire
73,Help! There's a fire in the barn!, fire
74,The fire is in the hay bales please send firefighters!, fire
75,We need help the fire is in the machinery shed!, fire
76,The fire is in the grain silo please come quickly!, fire
77,Help! There's a fire in the greenhouse!, fire
78,The fire is in the farm equipment please send help!, fire
79,We need help the fire is in the workshop!, fire
80,The fire is in the welding equipment please come quickly!, fire
81,Help! There's a fire in the storage container!, fire
82,The fire is in the industrial machinery please send firefighters!, fire
83,We need help the fire is in the manufacturing plant!, fire
84,The fire is in the warehouse please come quickly!, fire
85,Help! There's a fire in the high-rise building!, fire
86,The fire is in the elevator shaft please send help!, fire
87,We need help the fire is on the top floor!, fire
88,The fire is in the utility room please come quickly!, fire
89,Help! There's a fire in the theater!, fire
